Date,Clicks,Impressions,CTR,Position
2026-02-05,1,2,50%,20
2026-02-06,1,5,20%,4.2
2026-02-07,1,13,7.69%,8.1
2026-02-08,0,9,0%,7.4
2026-02-09,0,14,0%,6.4
2026-02-10,1,26,3.85%,2.5
2026-02-11,0,19,0%,7.3
